hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ntp.lothaire.net,Universite de Lorraine,France,Nancy,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 dual-stack 2026-07-12
ntp.laas.fr,LAAS-CNRS,France,Toulouse,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 dual-stack 2026-07-12
ntp.u-psud.fr,Universite Paris-Saclay,France,Orsay,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.unicaen.fr,Universite de Caen,France,Caen,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.unice.fr,Universite Cote d'Azur,France,Nice,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.ensma.fr,ISAE-ENSMA,France,Poitiers,server,yes,,restricted,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Responded REFUSED 2026-07-12
ntp.polytechnique.fr,Ecole polytechnique,France,Saclay,server,yes,,on-request,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.sophia.cnrs.fr,CNRS DR20,France,Sophia Antipolis,managed service alias,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,3,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S3 2026-07-12
ntp.univ-lyon1.fr,Universite Lyon 1 / CISM,France,Lyon,alias,no,ntp.insa-lyon.fr,public,no,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-31,Alias DNS de ntp.insa-lyon.fr (134.214.100.6) — MÊME machine. Exclu des décomptes.
ntp.univ-angers.fr,Universite d'Angers,France,Angers,server,yes,,public,no,no,refused — port 4460 fermé,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
chronos.espci.fr,ESPCI Paris,France,Paris,server,yes,,restricted,no,no,refused — port 4460 fermé,,no,no,0/6,0/6,standard,measured-2026-07-31,Responded REFUSED 2026-07-12
ntp.univ-reims.fr,Universite de Reims,France,Reims,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp2.emn.fr,IMT Atlantique,France,Nantes,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp.uvsq.fr,Universite de Versailles Saint-Quentin,France,Versailles,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
chronos.univ-brest.fr,Universite de Brest,France,Brest,server,yes,,restricted,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Responded REFUSED 2026-07-12
delphi.phys.univ-tours.fr,Universite de Tours,France,Tours,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp1.onecert.fr,ONERA,France,Toulouse,server,yes,,restricted,no,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Responded REFUSED 2026-07-12
