hostname,operator,country,city_or_scope,type,counted,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ntp.funet.fi,Funet / CSC (NREN),Finland,,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,
ntp1.funet.fi,Funet / CSC (NREN),Finland,,alias,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,Alias DNS de ntp.funet.fi (193.166.5.177) — MÊME machine. Exclu des décomptes.
ntp2.funet.fi,Funet / CSC (NREN),Finland,,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-12,
time.mikes.fi,VTT MIKES (institut de métrologie),Finland,,national metrology,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.uninett.no,Sikt / Uninett (NREN),Norway,,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp1.uninett.no,Sikt / Uninett (NREN),Norway,,academic,yes,public,unknown,no,refused — port 4460 fermé,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.vsl.nl,VSL (institut de métrologie),Netherlands,,national metrology,yes,public,unknown,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.grnet.gr,GRNET (NREN),Greece,,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,yes,yes,0/6,6/6,standard,measured-2026-07-12,
ntp.litnet.lt,LITNET (NREN),Lithuania,,academic,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-12,
time.windows.com,Microsoft,International,,hyperscaler,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,4,no,yes,0/6,6/6,standard,measured-2026-07-12,
time.aws.com,Amazon Web Services,International,,hyperscaler,yes,public,unknown,no,silent — port 4460 muet — peut être une ACL,4,yes,yes,0/6,6/6,standard,measured-2026-07-12,
europe.pool.ntp.org,NTP Pool Project — zone Europe,International,,pool,no,public,unknown,no,silent — port 4460 muet — peut être une ACL,2,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
fr.pool.ntp.org,NTP Pool Project — zone FR,France,,pool,no,public,unknown,no,cert-invalid — NTS INUTILISABLE : certificat émis pour un AUTRE nom — un client conforme refuse (RFC 8915),3,no,yes,0/6,6/6,standard,measured-2026-07-12,"Zone pool communautaire : tourniquet DNS sur serveurs bénévoles. Le pool ne PEUT pas servir de NTS (cf. RFC 8915 §4.1.7 + §8.2). Sondé pour référence, EXCLU des décomptes."
